,trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,budget,aspect_ratio,trt_genre
91,6-7,longa_metragem,english,USA,G,165000000.0,2.35,Adventure
92,5,longa_metragem,english,USA,PG-13,165000000.0,2.35,Action
93,8-10,longa_metragem,english,USA,PG,165000000.0,2.35,Adventure
94,6-7,longa_metragem,english,USA,R,200000000.0,2.35,Action
95,8-10,longa_metragem,english,USA,PG-13,170000000.0,2.35,Action
96,8-10,longa_metragem,english,USA,PG-13,165000000.0,2.35,Adventure
97,8-10,longa_metragem,english,USA,PG-13,160000000.0,2.35,Action
99,6-7,longa_metragem,english,USA,PG-13,180000000.0,2.35,Adventure
100,6-7,longa_metragem,english,USA,PG-13,38000000.0,2.35,Action
101,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Drama
102,6-7,longa_metragem,english,USA,PG-13,160000000.0,2.35,Action
103,6-7,longa_metragem,english,USA,PG-13,160000000.0,2.35,Adventure
104,6-7,longa_metragem,english,USA,PG,150000000.0,2.35,Action
105,5,longa_metragem,english,USA,PG-13,160000000.0,2.35,Action
106,6-7,longa_metragem,english,USA,PG,170000000.0,1.85,Adventure
107,6-7,longa_metragem,english,USA,PG,160000000.0,1.85,Adventure
108,6-7,longa_metragem,english,USA,PG-13,160000000.0,2.35,Action
109,6-7,longa_metragem,english,USA,PG-13,155000000.0,2.35,Action
110,6-7,longa_metragem,english,USA,PG,155000000.0,1.78,Adventure
111,6-7,longa_metragem,english,USA,PG-13,140000000.0,2.35,Action
112,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
113,5,longa_metragem,english,Germany,R,155000000.0,2.35,Action
114,6-7,longa_metragem,english,UK,PG-13,150000000.0,2.35,Adventure
115,6-7,longa_metragem,english,UK,PG-13,150000000.0,2.35,Adventure
116,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
117,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Drama
118,6-7,longa_metragem,english,USA,PG,150000000.0,1.85,Adventure
119,8-10,longa_metragem,english,USA,G,150000000.0,2.35,Animation
120,8-10,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
121,6-7,longa_metragem,english,USA,PG,150000000.0,1.85,Action
122,5,longa_metragem,english,USA,PG,150000000.0,2.35,Adventure
123,6-7,longa_metragem,english,USA,PG-13,150000000.0,2.35,Action
124,6-7,longa_metragem,english,Australia,R,150000000.0,2.35,Action
125,6-7,longa_metragem,english,USA,PG,150000000.0,2.24,Adventure
126,6-7,longa_metragem,english,USA,R,150000000.0,2.35,Action
127,6-7,longa_metragem,english,USA,PG-13,170000000.0,2.35,Action
128,8-10,longa_metragem,english,Australia,R,150000000.0,2.35,Action
