,trt_imdb_score,trt_duration,trt_language,country,budget,gross,trt_content_rating,trt_genre
101,7,longa_metragem,english,USA,150000000.0,127490802.0,PG-13,Drama
102,7,longa_metragem,english,USA,160000000.0,146405371.0,PG-13,Action
103,6,longa_metragem,english,USA,160000000.0,281666058.0,PG-13,Adventure
104,6,longa_metragem,english,USA,150000000.0,63143812.0,PG,Action
105,5,longa_metragem,english,USA,160000000.0,60655503.0,PG-13,Action
106,6,longa_metragem,english,USA,170000000.0,76846624.0,PG,Adventure
107,6,longa_metragem,english,USA,160000000.0,320706665.0,PG,Adventure
108,7,longa_metragem,english,USA,160000000.0,46978995.0,PG-13,Action
109,6,longa_metragem,english,USA,155000000.0,89732035.0,PG-13,Action
110,6,longa_metragem,english,USA,155000000.0,104383624.0,PG,Adventure
111,6,longa_metragem,english,USA,140000000.0,198539855.0,PG-13,Action
112,7,longa_metragem,english,USA,150000000.0,318759914.0,PG-13,Action
116,6,longa_metragem,english,USA,150000000.0,227946274.0,PG-13,Action
117,7,longa_metragem,english,USA,150000000.0,256386216.0,PG-13,Drama
118,6,longa_metragem,english,USA,150000000.0,206456431.0,PG,Adventure
119,8,longa_metragem,english,USA,150000000.0,206435493.0,G,Animation
120,8,longa_metragem,english,USA,150000000.0,205343774.0,PG-13,Action
121,6,longa_metragem,english,USA,150000000.0,179982968.0,PG,Action
122,5,longa_metragem,english,USA,150000000.0,177243721.0,PG,Adventure
123,6,longa_metragem,english,USA,150000000.0,179883016.0,PG-13,Action
125,7,longa_metragem,english,USA,150000000.0,400736600.0,PG,Adventure
126,7,longa_metragem,english,USA,150000000.0,281492479.0,R,Action
127,7,longa_metragem,english,USA,170000000.0,206360018.0,PG-13,Action
129,6,longa_metragem,english,USA,150000000.0,133375846.0,PG-13,Mystery
130,7,longa_metragem,english,USA,150000000.0,181015141.0,PG-13,Action
131,6,longa_metragem,english,USA,150000000.0,114053579.0,PG,Adventure
132,5,longa_metragem,english,USA,150000000.0,119420252.0,PG,Action
133,5,longa_metragem,english,USA,150000000.0,83640426.0,PG-13,Action
134,6,longa_metragem,english,USA,100000000.0,79711678.0,PG-13,Comedy
136,5,longa_metragem,english,USA,150000000.0,61937495.0,R,Drama
138,6,longa_metragem,english,USA,150000000.0,126597121.0,PG,Adventure
139,7,longa_metragem,english,USA,150000000.0,165230261.0,PG,Action
140,4,longa_metragem,english,USA,150000000.0,131564731.0,PG,Action
141,6,longa_metragem,english,USA,150000000.0,133382309.0,PG-13,Action
142,6,longa_metragem,english,USA,150000000.0,73103784.0,PG-13,Action
143,5,longa_metragem,english,USA,150000000.0,21379315.0,PG,Action
145,5,longa_metragem,english,USA,150000000.0,34964818.0,PG,Adventure
146,6,longa_metragem,english,USA,145000000.0,111505642.0,PG,Adventure
147,7,longa_metragem,english,USA,175000000.0,133228348.0,R,Adventure
148,6,longa_metragem,english,USA,145000000.0,216366733.0,PG,Adventure
150,5,longa_metragem,english,USA,144000000.0,118099659.0,PG-13,Action
151,6,longa_metragem,english,USA,140000000.0,201573391.0,PG-13,Action
152,6,longa_metragem,english,USA,140000000.0,190418803.0,PG-13,Action
153,6,longa_metragem,english,USA,150000000.0,82161969.0,PG-13,Action
154,7,longa_metragem,english,USA,145000000.0,143523463.0,PG,Action
155,7,longa_metragem,english,USA,145000000.0,209364921.0,PG-13,Action
156,7,longa_metragem,english,USA,145000000.0,103400692.0,PG,Adventure
157,6,longa_metragem,english,USA,100000000.0,110332737.0,PG-13,Comedy
158,7,longa_metragem,english,USA,140000000.0,111110575.0,R,Action
160,8,longa_metragem,english,USA,150000000.0,257704099.0,PG-13,Action
161,7,longa_metragem,english,USA,139000000.0,403706375.0,PG-13,Action
162,7,longa_metragem,english,USA,145000000.0,176997107.0,PG,Action
163,5,longa_metragem,english,USA,140000000.0,31141074.0,PG-13,Action
164,5,longa_metragem,english,USA,135000000.0,31704416.0,PG-13,Action
165,7,longa_metragem,english,USA,130000000.0,107503316.0,R,Action
166,6,longa_metragem,english,USA,140000000.0,129734803.0,R,Action
167,5,longa_metragem,english,USA,137000000.0,132122995.0,PG-13,Action
168,5,longa_metragem,english,USA,130000000.0,122512052.0,PG-13,Action
170,6,longa_metragem,english,USA,137000000.0,32131830.0,PG-13,Action
171,6,longa_metragem,english,USA,140000000.0,176636816.0,PG-13,Action
173,7,longa_metragem,english,USA,150000000.0,93926386.0,PG-13,Action
174,5,longa_metragem,english,USA,120000000.0,292298923.0,PG-13,Adventure
176,6,longa_metragem,english,USA,150000000.0,134518390.0,PG-13,Action
179,8,longa_metragem,english,USA,135000000.0,183635922.0,R,Adventure
180,6,longa_metragem,english,USA,135000000.0,83024900.0,PG,Adventure
181,7,longa_metragem,english,USA,135000000.0,123207194.0,PG,Adventure
182,6,longa_metragem,english,USA,132000000.0,83348920.0,PG,Adventure
183,8,longa_metragem,english,USA,110000000.0,227137090.0,PG-13,Action
184,7,longa_metragem,english,USA,130000000.0,215395021.0,PG,Action
185,7,longa_metragem,english,USA,130000000.0,180191634.0,PG-13,Action
186,7,longa_metragem,english,USA,130000000.0,424645577.0,PG-13,Adventure
188,6,longa_metragem,english,USA,135000000.0,177343675.0,PG,Adventure
189,6,longa_metragem,english,USA,132000000.0,234277056.0,PG-13,Adventure
190,6,longa_metragem,english,USA,130000000.0,138396624.0,R,Action
191,6,longa_metragem,english,USA,130000000.0,149234747.0,PG,Action
192,6,longa_metragem,english,USA,110000000.0,118311368.0,PG-13,Action
193,5,longa_metragem,english,USA,125000000.0,101160529.0,PG-13,Action
194,7,longa_metragem,english,USA,135000000.0,77564037.0,PG,Action
197,4,longa_metragem,english,USA,130000000.0,60522097.0,PG-13,Action
198,6,longa_metragem,english,USA,127500000.0,137748063.0,PG,Adventure
200,6,longa_metragem,english,USA,127000000.0,113733726.0,PG,Adventure
201,7,longa_metragem,english,USA,130000000.0,148337537.0,PG,Action
203,5,longa_metragem,english,USA,130000000.0,33592415.0,PG-13,Action
205,8,longa_metragem,english,USA,140000000.0,305388685.0,PG-13,Action
207,6,longa_metragem,english,USA,125000000.0,337103873.0,PG-13,Adventure
208,6,longa_metragem,english,USA,125000000.0,217536138.0,PG-13,Mystery
209,6,longa_metragem,english,USA,103000000.0,131536019.0,G,Adventure
211,7,longa_metragem,english,USA,125000000.0,209805005.0,PG-13,Action
212,7,longa_metragem,english,USA,125000000.0,186830669.0,PG-13,Action
213,5,longa_metragem,english,USA,125000000.0,163192114.0,PG-13,Action
214,7,longa_metragem,english,USA,65000000.0,119412921.0,R,Action
215,6,longa_metragem,english,USA,85000000.0,32694788.0,R,Action
216,6,longa_metragem,english,USA,125000000.0,113165635.0,PG-13,Action
217,3,longa_metragem,english,USA,125000000.0,107285004.0,PG-13,Action
218,6,longa_metragem,english,USA,123000000.0,260031035.0,PG,Comedy
219,6,longa_metragem,english,USA,125000000.0,186739919.0,PG-13,Action
220,6,longa_metragem,english,USA,125000000.0,215397307.0,PG-13,Action
221,6,longa_metragem,english,USA,140000000.0,182618434.0,PG-13,Action
222,5,longa_metragem,english,USA,130000000.0,131920333.0,PG,Action
223,8,longa_metragem,english,USA,120000000.0,124976634.0,PG,Adventure
224,5,longa_metragem,english,USA,110000000.0,115802596.0,PG-13,Action
226,4,longa_metragem,english,USA,120000000.0,100685880.0,PG-13,Action
227,7,longa_metragem,english,USA,130000000.0,126464904.0,R,Adventure
228,5,longa_metragem,english,USA,120000000.0,64736114.0,PG,Adventure
229,6,longa_metragem,english,USA,115000000.0,93050117.0,R,Action
230,6,longa_metragem,english,USA,105000000.0,57637485.0,PG-13,Action
231,6,longa_metragem,english,USA,100000000.0,58607007.0,PG-13,Action
232,6,longa_metragem,english,USA,120000000.0,43929341.0,PG,Action
233,5,longa_metragem,english,USA,120000000.0,30212620.0,PG-13,Comedy
234,6,longa_metragem,english,USA,117000000.0,76418654.0,PG-13,Action
235,7,longa_metragem,english,USA,120000000.0,89021735.0,PG-13,Action
236,7,longa_metragem,english,USA,113000000.0,380262555.0,PG-13,Action
237,6,longa_metragem,english,USA,115000000.0,310675583.0,PG,Action
238,8,longa_metragem,english,USA,115000000.0,289907418.0,G,Adventure
239,6,longa_metragem,english,USA,120000000.0,132550960.0,PG-13,Action
240,6,longa_metragem,english,USA,115000000.0,474544677.0,PG,Action
241,7,longa_metragem,english,USA,135000000.0,187165546.0,PG,Adventure
243,6,longa_metragem,english,USA,115000000.0,40911830.0,R,Action
244,6,longa_metragem,english,USA,115000000.0,47952020.0,PG-13,Action
245,5,longa_metragem,english,USA,125000000.0,190871240.0,PG-13,Action
247,5,longa_metragem,english,USA,116000000.0,67155742.0,PG-13,Action
248,6,longa_metragem,english,USA,135000000.0,81638674.0,PG-13,Action
249,4,longa_metragem,english,USA,120000000.0,56114221.0,PG-13,Action
250,6,longa_metragem,english,USA,110000000.0,250863268.0,PG,Action
251,6,longa_metragem,english,USA,110000000.0,155181732.0,PG-13,Action
253,7,longa_metragem,english,USA,110000000.0,113330342.0,R,Action
254,6,longa_metragem,english,USA,110000000.0,125531634.0,PG-13,Crime
255,6,longa_metragem,english,USA,120000000.0,186336103.0,PG-13,Action
256,6,longa_metragem,english,USA,110000000.0,129995817.0,PG-13,Adventure
257,7,longa_metragem,english,USA,110000000.0,102608827.0,PG-13,Biography
258,4,longa_metragem,english,USA,112000000.0,42776259.0,PG,Adventure
259,5,longa_metragem,english,USA,120000000.0,98780042.0,PG-13,Action
261,6,longa_metragem,english,USA,110000000.0,106369117.0,R,Action
262,5,longa_metragem,english,USA,110000000.0,142614158.0,PG,Adventure
263,5,longa_metragem,english,USA,110000000.0,50026353.0,PG,Animation
264,5,longa_metragem,english,USA,110000000.0,66002193.0,PG-13,Action
265,7,longa_metragem,english,USA,110000000.0,85463309.0,PG-13,Action
266,5,longa_metragem,english,USA,105000000.0,71017784.0,PG,Adventure
267,3,longa_metragem,english,USA,160000000.0,48068396.0,PG-13,Action
268,6,longa_metragem,english,USA,110000000.0,61656849.0,PG-13,Action
269,7,longa_metragem,english,USA,110000000.0,134520804.0,PG-13,Action
271,5,longa_metragem,english,USA,110000000.0,24004159.0,PG,Action
272,6,longa_metragem,english,USA,107000000.0,58183966.0,R,Biography
273,3,longa_metragem,english,USA,109000000.0,100446895.0,PG,Adventure
274,7,longa_metragem,english,USA,120000000.0,144795350.0,PG-13,Action
275,7,longa_metragem,english,USA,130000000.0,47396698.0,R,Action
277,7,longa_metragem,english,USA,105000000.0,104374107.0,G,Animation
278,8,longa_metragem,english,USA,108000000.0,228430993.0,PG-13,Adventure
280,6,longa_metragem,english,USA,126000000.0,35799026.0,PG-13,Action
282,6,longa_metragem,english,USA,90000000.0,101643008.0,PG-13,Action
283,8,longa_metragem,english,USA,103000000.0,187670866.0,R,Action
284,7,longa_metragem,english,USA,102000000.0,132014112.0,PG-13,Action
287,5,longa_metragem,english,USA,100000000.0,180011740.0,PG-13,Action
288,8,longa_metragem,english,USA,102000000.0,204843350.0,R,Action
289,7,longa_metragem,english,USA,100000000.0,97030725.0,R,Biography
290,7,longa_metragem,english,USA,100000000.0,130127620.0,R,Biography
291,7,longa_metragem,english,USA,115000000.0,146282411.0,R,Action
292,6,longa_metragem,english,USA,100000000.0,65452312.0,R,Action
293,5,longa_metragem,english,USA,100000000.0,148383780.0,PG-13,Comedy
294,6,longa_metragem,english,USA,100000000.0,119219978.0,PG-13,Action
295,6,longa_metragem,english,USA,100000000.0,101228120.0,R,Action
296,8,longa_metragem,english,USA,100000000.0,162804648.0,R,Drama
297,6,longa_metragem,english,USA,100000000.0,100117603.0,G,Animation
298,7,longa_metragem,english,USA,100000000.0,89296573.0,G,Adventure
299,6,longa_metragem,english,USA,92000000.0,85017401.0,R,Action
300,6,longa_metragem,english,USA,100000000.0,173005002.0,PG,Action
301,5,longa_metragem,english,USA,100000000.0,75030163.0,PG,Action
304,6,longa_metragem,english,USA,100000000.0,107515297.0,PG,Adventure
305,6,longa_metragem,english,USA,100000000.0,67631157.0,PG-13,Action
306,5,longa_metragem,english,USA,83000000.0,66862068.0,R,Action
308,8,longa_metragem,english,USA,100000000.0,116866727.0,R,Biography
309,5,longa_metragem,english,USA,100000000.0,184031112.0,PG-13,Action
310,7,longa_metragem,english,USA,105000000.0,54700065.0,R,Action
312,7,longa_metragem,english,USA,80000000.0,55673333.0,PG,Action
313,3,longa_metragem,english,USA,100000000.0,40198710.0,PG-13,Action
314,6,longa_metragem,english,USA,100000000.0,72660029.0,PG-13,Action
315,7,longa_metragem,english,USA,140000000.0,38120554.0,PG,Adventure
316,5,longa_metragem,english,USA,100000000.0,49392095.0,PG-13,Adventure
317,6,longa_metragem,english,USA,90000000.0,39292022.0,PG-13,Action
318,5,longa_metragem,english,USA,105000000.0,28772222.0,PG-13,Action
319,2,longa_metragem,english,USA,84000000.0,17010646.0,PG,Comedy
320,7,longa_metragem,english,USA,100000000.0,24985612.0,PG-13,Action
321,3,longa_metragem,english,USA,100000000.0,4411102.0,PG-13,Action
