year,state,month,trt_month_year,trt_number,trt_region,trt_estacoes
1998,Acre,Janeiro,Janeiro - 1998,0,Norte,Verao
1999,Acre,Janeiro,Janeiro - 1999,0,Norte,Verao
2000,Acre,Janeiro,Janeiro - 2000,0,Norte,Verao
2001,Acre,Janeiro,Janeiro - 2001,0,Norte,Verao
2002,Acre,Janeiro,Janeiro - 2002,0,Norte,Verao
2003,Acre,Janeiro,Janeiro - 2003,1,Norte,Verao
2004,Acre,Janeiro,Janeiro - 2004,0,Norte,Verao
2005,Acre,Janeiro,Janeiro - 2005,1,Norte,Verao
2006,Acre,Janeiro,Janeiro - 2006,1,Norte,Verao
2007,Acre,Janeiro,Janeiro - 2007,0,Norte,Verao
2008,Acre,Janeiro,Janeiro - 2008,0,Norte,Verao
2009,Acre,Janeiro,Janeiro - 2009,0,Norte,Verao
2010,Acre,Janeiro,Janeiro - 2010,1,Norte,Verao
2011,Acre,Janeiro,Janeiro - 2011,0,Norte,Verao
2012,Acre,Janeiro,Janeiro - 2012,0,Norte,Verao
2013,Acre,Janeiro,Janeiro - 2013,0,Norte,Verao
2014,Acre,Janeiro,Janeiro - 2014,0,Norte,Verao
2015,Acre,Janeiro,Janeiro - 2015,1,Norte,Verao
2016,Acre,Janeiro,Janeiro - 2016,1,Norte,Verao
2017,Acre,Janeiro,Janeiro - 2017,0,Norte,Verao
1998,Acre,Fevereiro,Fevereiro - 1998,0,Norte,Verao
1999,Acre,Fevereiro,Fevereiro - 1999,0,Norte,Verao
2000,Acre,Fevereiro,Fevereiro - 2000,0,Norte,Verao
2001,Acre,Fevereiro,Fevereiro - 2001,0,Norte,Verao
2002,Acre,Fevereiro,Fevereiro - 2002,1,Norte,Verao
2003,Acre,Fevereiro,Fevereiro - 2003,0,Norte,Verao
2004,Acre,Fevereiro,Fevereiro - 2004,1,Norte,Verao
2005,Acre,Fevereiro,Fevereiro - 2005,0,Norte,Verao
2006,Acre,Fevereiro,Fevereiro - 2006,0,Norte,Verao
2007,Acre,Fevereiro,Fevereiro - 2007,1,Norte,Verao
2008,Acre,Fevereiro,Fevereiro - 2008,0,Norte,Verao
2009,Acre,Fevereiro,Fevereiro - 2009,1,Norte,Verao
2010,Acre,Fevereiro,Fevereiro - 2010,0,Norte,Verao
2011,Acre,Fevereiro,Fevereiro - 2011,0,Norte,Verao
2012,Acre,Fevereiro,Fevereiro - 2012,0,Norte,Verao
2013,Acre,Fevereiro,Fevereiro - 2013,0,Norte,Verao
2014,Acre,Fevereiro,Fevereiro - 2014,0,Norte,Verao
2015,Acre,Fevereiro,Fevereiro - 2015,1,Norte,Verao
2016,Acre,Fevereiro,Fevereiro - 2016,1,Norte,Verao
2017,Acre,Fevereiro,Fevereiro - 2017,1,Norte,Verao
1998,Acre,MarÁo,MarÁo - 1998,0,Norte,Outono
1999,Acre,MarÁo,MarÁo - 1999,0,Norte,Outono
2000,Acre,MarÁo,MarÁo - 2000,1,Norte,Outono
2001,Acre,MarÁo,MarÁo - 2001,0,Norte,Outono
2002,Acre,MarÁo,MarÁo - 2002,0,Norte,Outono
2003,Acre,MarÁo,MarÁo - 2003,0,Norte,Outono
2004,Acre,MarÁo,MarÁo - 2004,0,Norte,Outono
2005,Acre,MarÁo,MarÁo - 2005,1,Norte,Outono
2006,Acre,MarÁo,MarÁo - 2006,0,Norte,Outono
2007,Acre,MarÁo,MarÁo - 2007,1,Norte,Outono
2008,Acre,MarÁo,MarÁo - 2008,0,Norte,Outono
2009,Acre,MarÁo,MarÁo - 2009,1,Norte,Outono
2010,Acre,MarÁo,MarÁo - 2010,0,Norte,Outono
2011,Acre,MarÁo,MarÁo - 2011,0,Norte,Outono
2012,Acre,MarÁo,MarÁo - 2012,1,Norte,Outono
2013,Acre,MarÁo,MarÁo - 2013,1,Norte,Outono
2014,Acre,MarÁo,MarÁo - 2014,1,Norte,Outono
2015,Acre,MarÁo,MarÁo - 2015,1,Norte,Outono
2016,Acre,MarÁo,MarÁo - 2016,0,Norte,Outono
2017,Acre,MarÁo,MarÁo - 2017,0,Norte,Outono
1998,Acre,Abril,Abril - 1998,0,Norte,Outono
1999,Acre,Abril,Abril - 1999,0,Norte,Outono
2000,Acre,Abril,Abril - 2000,1,Norte,Outono
2001,Acre,Abril,Abril - 2001,0,Norte,Outono
2002,Acre,Abril,Abril - 2002,0,Norte,Outono
2003,Acre,Abril,Abril - 2003,1,Norte,Outono
2004,Acre,Abril,Abril - 2004,1,Norte,Outono
2005,Acre,Abril,Abril - 2005,1,Norte,Outono
2006,Acre,Abril,Abril - 2006,0,Norte,Outono
2007,Acre,Abril,Abril - 2007,0,Norte,Outono
2008,Acre,Abril,Abril - 2008,0,Norte,Outono
2009,Acre,Abril,Abril - 2009,0,Norte,Outono
2010,Acre,Abril,Abril - 2010,1,Norte,Outono
2011,Acre,Abril,Abril - 2011,1,Norte,Outono
2012,Acre,Abril,Abril - 2012,1,Norte,Outono
2013,Acre,Abril,Abril - 2013,1,Norte,Outono
2014,Acre,Abril,Abril - 2014,1,Norte,Outono
2015,Acre,Abril,Abril - 2015,1,Norte,Outono
2016,Acre,Abril,Abril - 2016,0,Norte,Outono
2017,Acre,Abril,Abril - 2017,1,Norte,Outono
1998,Acre,Maio,Maio - 1998,0,Norte,Outono
1999,Acre,Maio,Maio - 1999,0,Norte,Outono
2000,Acre,Maio,Maio - 2000,1,Norte,Outono
2001,Acre,Maio,Maio - 2001,0,Norte,Outono
2002,Acre,Maio,Maio - 2002,0,Norte,Outono
2003,Acre,Maio,Maio - 2003,1,Norte,Outono
2004,Acre,Maio,Maio - 2004,1,Norte,Outono
2005,Acre,Maio,Maio - 2005,1,Norte,Outono
2006,Acre,Maio,Maio - 2006,1,Norte,Outono
2007,Acre,Maio,Maio - 2007,1,Norte,Outono
2008,Acre,Maio,Maio - 2008,0,Norte,Outono
2009,Acre,Maio,Maio - 2009,1,Norte,Outono
2010,Acre,Maio,Maio - 2010,1,Norte,Outono
2011,Acre,Maio,Maio - 2011,1,Norte,Outono
2012,Acre,Maio,Maio - 2012,1,Norte,Outono
2013,Acre,Maio,Maio - 2013,1,Norte,Outono
2014,Acre,Maio,Maio - 2014,1,Norte,Outono
2015,Acre,Maio,Maio - 2015,1,Norte,Outono
2016,Acre,Maio,Maio - 2016,1,Norte,Outono
2017,Acre,Maio,Maio - 2017,1,Norte,Outono
1998,Acre,Junho,Junho - 1998,1,Norte,Outono
1999,Acre,Junho,Junho - 1999,0,Norte,Outono
2000,Acre,Junho,Junho - 2000,1,Norte,Outono
2001,Acre,Junho,Junho - 2001,1,Norte,Outono
2002,Acre,Junho,Junho - 2002,0,Norte,Outono
2003,Acre,Junho,Junho - 2003,0,Norte,Outono
2004,Acre,Junho,Junho - 2004,1,Norte,Outono
2005,Acre,Junho,Junho - 2005,1,Norte,Outono
2006,Acre,Junho,Junho - 2006,1,Norte,Outono
2007,Acre,Junho,Junho - 2007,1,Norte,Outono
2008,Acre,Junho,Junho - 2008,0,Norte,Outono
2009,Acre,Junho,Junho - 2009,0,Norte,Outono
2010,Acre,Junho,Junho - 2010,1,Norte,Outono
2011,Acre,Junho,Junho - 2011,1,Norte,Outono
2012,Acre,Junho,Junho - 2012,1,Norte,Outono
2013,Acre,Junho,Junho - 2013,1,Norte,Outono
2014,Acre,Junho,Junho - 2014,1,Norte,Outono
2015,Acre,Junho,Junho - 2015,1,Norte,Outono
2016,Acre,Junho,Junho - 2016,1,Norte,Outono
2017,Acre,Junho,Junho - 2017,1,Norte,Outono
1998,Acre,Julho,Julho - 1998,1,Norte,Inverno
1999,Acre,Julho,Julho - 1999,1,Norte,Inverno
2000,Acre,Julho,Julho - 2000,1,Norte,Inverno
2001,Acre,Julho,Julho - 2001,1,Norte,Inverno
2002,Acre,Julho,Julho - 2002,1,Norte,Inverno
2003,Acre,Julho,Julho - 2003,1,Norte,Inverno
2004,Acre,Julho,Julho - 2004,1,Norte,Inverno
2005,Acre,Julho,Julho - 2005,1,Norte,Inverno
2006,Acre,Julho,Julho - 2006,1,Norte,Inverno
2007,Acre,Julho,Julho - 2007,1,Norte,Inverno
2008,Acre,Julho,Julho - 2008,1,Norte,Inverno
2009,Acre,Julho,Julho - 2009,1,Norte,Inverno
2010,Acre,Julho,Julho - 2010,1,Norte,Inverno
2011,Acre,Julho,Julho - 2011,1,Norte,Inverno
2012,Acre,Julho,Julho - 2012,1,Norte,Inverno
2013,Acre,Julho,Julho - 2013,1,Norte,Inverno
2014,Acre,Julho,Julho - 2014,1,Norte,Inverno
2015,Acre,Julho,Julho - 2015,1,Norte,Inverno
2016,Acre,Julho,Julho - 2016,1,Norte,Inverno
2017,Acre,Julho,Julho - 2017,1,Norte,Inverno
1998,Acre,Agosto,Agosto - 1998,1,Norte,Inverno
1999,Acre,Agosto,Agosto - 1999,1,Norte,Inverno
2000,Acre,Agosto,Agosto - 2000,1,Norte,Inverno
2001,Acre,Agosto,Agosto - 2001,1,Norte,Inverno
2002,Acre,Agosto,Agosto - 2002,1,Norte,Inverno
2003,Acre,Agosto,Agosto - 2003,1,Norte,Inverno
2004,Acre,Agosto,Agosto - 2004,1,Norte,Inverno
2005,Acre,Agosto,Agosto - 2005,1,Norte,Inverno
2006,Acre,Agosto,Agosto - 2006,1,Norte,Inverno
2007,Acre,Agosto,Agosto - 2007,1,Norte,Inverno
2008,Acre,Agosto,Agosto - 2008,1,Norte,Inverno
2009,Acre,Agosto,Agosto - 2009,1,Norte,Inverno
2010,Acre,Agosto,Agosto - 2010,1,Norte,Inverno
2011,Acre,Agosto,Agosto - 2011,1,Norte,Inverno
2012,Acre,Agosto,Agosto - 2012,1,Norte,Inverno
2013,Acre,Agosto,Agosto - 2013,1,Norte,Inverno
2014,Acre,Agosto,Agosto - 2014,1,Norte,Inverno
2015,Acre,Agosto,Agosto - 2015,1,Norte,Inverno
2016,Acre,Agosto,Agosto - 2016,1,Norte,Inverno
2017,Acre,Agosto,Agosto - 2017,1,Norte,Inverno
1998,Acre,Setembro,Setembro - 1998,1,Norte,Inverno
1999,Acre,Setembro,Setembro - 1999,1,Norte,Inverno
2000,Acre,Setembro,Setembro - 2000,1,Norte,Inverno
2001,Acre,Setembro,Setembro - 2001,1,Norte,Inverno
2002,Acre,Setembro,Setembro - 2002,1,Norte,Inverno
2003,Acre,Setembro,Setembro - 2003,1,Norte,Inverno
2004,Acre,Setembro,Setembro - 2004,1,Norte,Inverno
2005,Acre,Setembro,Setembro - 2005,1,Norte,Inverno
2006,Acre,Setembro,Setembro - 2006,1,Norte,Inverno
2007,Acre,Setembro,Setembro - 2007,1,Norte,Inverno
2008,Acre,Setembro,Setembro - 2008,1,Norte,Inverno
2009,Acre,Setembro,Setembro - 2009,1,Norte,Inverno
2010,Acre,Setembro,Setembro - 2010,1,Norte,Inverno
2011,Acre,Setembro,Setembro - 2011,1,Norte,Inverno
2012,Acre,Setembro,Setembro - 2012,1,Norte,Inverno
2013,Acre,Setembro,Setembro - 2013,1,Norte,Inverno
2014,Acre,Setembro,Setembro - 2014,1,Norte,Inverno
2015,Acre,Setembro,Setembro - 2015,1,Norte,Inverno
2016,Acre,Setembro,Setembro - 2016,1,Norte,Inverno
2017,Acre,Setembro,Setembro - 2017,1,Norte,Inverno
1998,Acre,Outubro,Outubro - 1998,1,Norte,Primavera
1999,Acre,Outubro,Outubro - 1999,1,Norte,Primavera
2000,Acre,Outubro,Outubro - 2000,1,Norte,Primavera
2001,Acre,Outubro,Outubro - 2001,1,Norte,Primavera
2002,Acre,Outubro,Outubro - 2002,1,Norte,Primavera
2003,Acre,Outubro,Outubro - 2003,1,Norte,Primavera
2004,Acre,Outubro,Outubro - 2004,1,Norte,Primavera
2005,Acre,Outubro,Outubro - 2005,1,Norte,Primavera
2006,Acre,Outubro,Outubro - 2006,1,Norte,Primavera
2007,Acre,Outubro,Outubro - 2007,1,Norte,Primavera
2008,Acre,Outubro,Outubro - 2008,1,Norte,Primavera
2009,Acre,Outubro,Outubro - 2009,1,Norte,Primavera
2010,Acre,Outubro,Outubro - 2010,1,Norte,Primavera
2011,Acre,Outubro,Outubro - 2011,1,Norte,Primavera
2012,Acre,Outubro,Outubro - 2012,1,Norte,Primavera
2013,Acre,Outubro,Outubro - 2013,1,Norte,Primavera
2014,Acre,Outubro,Outubro - 2014,1,Norte,Primavera
2015,Acre,Outubro,Outubro - 2015,1,Norte,Primavera
2016,Acre,Outubro,Outubro - 2016,1,Norte,Primavera
2017,Acre,Outubro,Outubro - 2017,1,Norte,Primavera
1998,Acre,Novembro,Novembro - 1998,0,Norte,Primavera
1999,Acre,Novembro,Novembro - 1999,0,Norte,Primavera
2000,Acre,Novembro,Novembro - 2000,0,Norte,Primavera
2001,Acre,Novembro,Novembro - 2001,1,Norte,Primavera
2002,Acre,Novembro,Novembro - 2002,1,Norte,Primavera
2003,Acre,Novembro,Novembro - 2003,1,Norte,Primavera
2004,Acre,Novembro,Novembro - 2004,1,Norte,Primavera
2005,Acre,Novembro,Novembro - 2005,1,Norte,Primavera
2006,Acre,Novembro,Novembro - 2006,1,Norte,Primavera
2007,Acre,Novembro,Novembro - 2007,1,Norte,Primavera
2008,Acre,Novembro,Novembro - 2008,1,Norte,Primavera
2009,Acre,Novembro,Novembro - 2009,1,Norte,Primavera
2010,Acre,Novembro,Novembro - 2010,1,Norte,Primavera
2011,Acre,Novembro,Novembro - 2011,1,Norte,Primavera
2012,Acre,Novembro,Novembro - 2012,1,Norte,Primavera
2013,Acre,Novembro,Novembro - 2013,1,Norte,Primavera
2014,Acre,Novembro,Novembro - 2014,1,Norte,Primavera
2015,Acre,Novembro,Novembro - 2015,1,Norte,Primavera
2016,Acre,Novembro,Novembro - 2016,1,Norte,Primavera
2017,Acre,Novembro,Novembro - 2017,1,Norte,Primavera
1998,Acre,Dezembro,Dezembro - 1998,1,Norte,Primavera
1999,Acre,Dezembro,Dezembro - 1999,0,Norte,Primavera
2000,Acre,Dezembro,Dezembro - 2000,0,Norte,Primavera
2001,Acre,Dezembro,Dezembro - 2001,0,Norte,Primavera
2002,Acre,Dezembro,Dezembro - 2002,1,Norte,Primavera
2003,Acre,Dezembro,Dezembro - 2003,1,Norte,Primavera
2004,Acre,Dezembro,Dezembro - 2004,1,Norte,Primavera
2005,Acre,Dezembro,Dezembro - 2005,1,Norte,Primavera
2006,Acre,Dezembro,Dezembro - 2006,0,Norte,Primavera
2007,Acre,Dezembro,Dezembro - 2007,0,Norte,Primavera
2008,Acre,Dezembro,Dezembro - 2008,0,Norte,Primavera
2009,Acre,Dezembro,Dezembro - 2009,1,Norte,Primavera
2010,Acre,Dezembro,Dezembro - 2010,0,Norte,Primavera
2011,Acre,Dezembro,Dezembro - 2011,1,Norte,Primavera
2012,Acre,Dezembro,Dezembro - 2012,1,Norte,Primavera
2013,Acre,Dezembro,Dezembro - 2013,1,Norte,Primavera
2014,Acre,Dezembro,Dezembro - 2014,1,Norte,Primavera
2015,Acre,Dezembro,Dezembro - 2015,1,Norte,Primavera
2016,Acre,Dezembro,Dezembro - 2016,1,Norte,Primavera
1998,Alagoas,Janeiro,Janeiro - 1998,0,Nordeste,Verao
1999,Alagoas,Janeiro,Janeiro - 1999,1,Nordeste,Verao
2000,Alagoas,Janeiro,Janeiro - 2000,1,Nordeste,Verao
2001,Alagoas,Janeiro,Janeiro - 2001,1,Nordeste,Verao
2002,Alagoas,Janeiro,Janeiro - 2002,1,Nordeste,Verao
2003,Alagoas,Janeiro,Janeiro - 2003,1,Nordeste,Verao
2004,Alagoas,Janeiro,Janeiro - 2004,1,Nordeste,Verao
2005,Alagoas,Janeiro,Janeiro - 2005,1,Nordeste,Verao
2006,Alagoas,Janeiro,Janeiro - 2006,1,Nordeste,Verao
2007,Alagoas,Janeiro,Janeiro - 2007,1,Nordeste,Verao
2008,Alagoas,Janeiro,Janeiro - 2008,1,Nordeste,Verao
2009,Alagoas,Janeiro,Janeiro - 2009,1,Nordeste,Verao
2010,Alagoas,Janeiro,Janeiro - 2010,1,Nordeste,Verao
2011,Alagoas,Janeiro,Janeiro - 2011,1,Nordeste,Verao
2012,Alagoas,Janeiro,Janeiro - 2012,1,Nordeste,Verao
2013,Alagoas,Janeiro,Janeiro - 2013,1,Nordeste,Verao
2014,Alagoas,Janeiro,Janeiro - 2014,1,Nordeste,Verao
2015,Alagoas,Janeiro,Janeiro - 2015,1,Nordeste,Verao
2016,Alagoas,Janeiro,Janeiro - 2016,1,Nordeste,Verao
2017,Alagoas,Janeiro,Janeiro - 2017,1,Nordeste,Verao
2017,Alagoas,Janeiro,Janeiro - 2017,1,Nordeste,Verao
1998,Alagoas,Fevereiro,Fevereiro - 1998,0,Nordeste,Verao
1999,Alagoas,Fevereiro,Fevereiro - 1999,1,Nordeste,Verao
2000,Alagoas,Fevereiro,Fevereiro - 2000,1,Nordeste,Verao
2001,Alagoas,Fevereiro,Fevereiro - 2001,1,Nordeste,Verao
2002,Alagoas,Fevereiro,Fevereiro - 2002,1,Nordeste,Verao
2003,Alagoas,Fevereiro,Fevereiro - 2003,1,Nordeste,Verao
2004,Alagoas,Fevereiro,Fevereiro - 2004,1,Nordeste,Verao
2005,Alagoas,Fevereiro,Fevereiro - 2005,1,Nordeste,Verao
2006,Alagoas,Fevereiro,Fevereiro - 2006,1,Nordeste,Verao
2007,Alagoas,Fevereiro,Fevereiro - 2007,1,Nordeste,Verao
2008,Alagoas,Fevereiro,Fevereiro - 2008,1,Nordeste,Verao
2009,Alagoas,Fevereiro,Fevereiro - 2009,1,Nordeste,Verao
2010,Alagoas,Fevereiro,Fevereiro - 2010,1,Nordeste,Verao
2011,Alagoas,Fevereiro,Fevereiro - 2011,1,Nordeste,Verao
2012,Alagoas,Fevereiro,Fevereiro - 2012,1,Nordeste,Verao
2013,Alagoas,Fevereiro,Fevereiro - 2013,1,Nordeste,Verao
2014,Alagoas,Fevereiro,Fevereiro - 2014,1,Nordeste,Verao
2015,Alagoas,Fevereiro,Fevereiro - 2015,1,Nordeste,Verao
2016,Alagoas,Fevereiro,Fevereiro - 2016,1,Nordeste,Verao
2017,Alagoas,Fevereiro,Fevereiro - 2017,1,Nordeste,Verao
1998,Alagoas,MarÁo,MarÁo - 1998,0,Nordeste,Outono
1999,Alagoas,MarÁo,MarÁo - 1999,1,Nordeste,Outono
2000,Alagoas,MarÁo,MarÁo - 2000,1,Nordeste,Outono
2001,Alagoas,MarÁo,MarÁo - 2001,0,Nordeste,Outono
2002,Alagoas,MarÁo,MarÁo - 2002,1,Nordeste,Outono
2003,Alagoas,MarÁo,MarÁo - 2003,1,Nordeste,Outono
2004,Alagoas,MarÁo,MarÁo - 2004,1,Nordeste,Outono
2005,Alagoas,MarÁo,MarÁo - 2005,1,Nordeste,Outono
2006,Alagoas,MarÁo,MarÁo - 2006,1,Nordeste,Outono
2007,Alagoas,MarÁo,MarÁo - 2007,1,Nordeste,Outono
2008,Alagoas,MarÁo,MarÁo - 2008,1,Nordeste,Outono
2009,Alagoas,MarÁo,MarÁo - 2009,1,Nordeste,Outono
2010,Alagoas,MarÁo,MarÁo - 2010,1,Nordeste,Outono
2011,Alagoas,MarÁo,MarÁo - 2011,1,Nordeste,Outono
2012,Alagoas,MarÁo,MarÁo - 2012,1,Nordeste,Outono
2013,Alagoas,MarÁo,MarÁo - 2013,1,Nordeste,Outono
2014,Alagoas,MarÁo,MarÁo - 2014,1,Nordeste,Outono
2015,Alagoas,MarÁo,MarÁo - 2015,1,Nordeste,Outono
2016,Alagoas,MarÁo,MarÁo - 2016,1,Nordeste,Outono
2017,Alagoas,MarÁo,MarÁo - 2017,1,Nordeste,Outono
1998,Alagoas,Abril,Abril - 1998,0,Nordeste,Outono
1999,Alagoas,Abril,Abril - 1999,1,Nordeste,Outono
2000,Alagoas,Abril,Abril - 2000,1,Nordeste,Outono
2001,Alagoas,Abril,Abril - 2001,0,Nordeste,Outono
2002,Alagoas,Abril,Abril - 2002,1,Nordeste,Outono
2003,Alagoas,Abril,Abril - 2003,1,Nordeste,Outono
2004,Alagoas,Abril,Abril - 2004,1,Nordeste,Outono
2005,Alagoas,Abril,Abril - 2005,1,Nordeste,Outono
2006,Alagoas,Abril,Abril - 2006,1,Nordeste,Outono
2007,Alagoas,Abril,Abril - 2007,1,Nordeste,Outono
2008,Alagoas,Abril,Abril - 2008,1,Nordeste,Outono
2009,Alagoas,Abril,Abril - 2009,1,Nordeste,Outono
2010,Alagoas,Abril,Abril - 2010,1,Nordeste,Outono
2011,Alagoas,Abril,Abril - 2011,1,Nordeste,Outono
2012,Alagoas,Abril,Abril - 2012,1,Nordeste,Outono
2013,Alagoas,Abril,Abril - 2013,1,Nordeste,Outono
2014,Alagoas,Abril,Abril - 2014,1,Nordeste,Outono
2015,Alagoas,Abril,Abril - 2015,1,Nordeste,Outono
2016,Alagoas,Abril,Abril - 2016,1,Nordeste,Outono
2017,Alagoas,Abril,Abril - 2017,1,Nordeste,Outono
1998,Alagoas,Maio,Maio - 1998,0,Nordeste,Outono
1999,Alagoas,Maio,Maio - 1999,1,Nordeste,Outono
2000,Alagoas,Maio,Maio - 2000,1,Nordeste,Outono
2001,Alagoas,Maio,Maio - 2001,1,Nordeste,Outono
2002,Alagoas,Maio,Maio - 2002,1,Nordeste,Outono
2003,Alagoas,Maio,Maio - 2003,1,Nordeste,Outono
2004,Alagoas,Maio,Maio - 2004,1,Nordeste,Outono
2005,Alagoas,Maio,Maio - 2005,0,Nordeste,Outono
2006,Alagoas,Maio,Maio - 2006,0,Nordeste,Outono
2007,Alagoas,Maio,Maio - 2007,0,Nordeste,Outono
2008,Alagoas,Maio,Maio - 2008,0,Nordeste,Outono
2009,Alagoas,Maio,Maio - 2009,0,Nordeste,Outono
2010,Alagoas,Maio,Maio - 2010,0,Nordeste,Outono
2011,Alagoas,Maio,Maio - 2011,0,Nordeste,Outono
2012,Alagoas,Maio,Maio - 2012,1,Nordeste,Outono
2013,Alagoas,Maio,Maio - 2013,1,Nordeste,Outono
2014,Alagoas,Maio,Maio - 2014,1,Nordeste,Outono
2015,Alagoas,Maio,Maio - 2015,1,Nordeste,Outono
2016,Alagoas,Maio,Maio - 2016,1,Nordeste,Outono
2017,Alagoas,Maio,Maio - 2017,1,Nordeste,Outono
1998,Alagoas,Junho,Junho - 1998,0,Nordeste,Outono
1999,Alagoas,Junho,Junho - 1999,0,Nordeste,Outono
2000,Alagoas,Junho,Junho - 2000,0,Nordeste,Outono
2001,Alagoas,Junho,Junho - 2001,1,Nordeste,Outono
2002,Alagoas,Junho,Junho - 2002,0,Nordeste,Outono
2003,Alagoas,Junho,Junho - 2003,0,Nordeste,Outono
2004,Alagoas,Junho,Junho - 2004,0,Nordeste,Outono
2005,Alagoas,Junho,Junho - 2005,0,Nordeste,Outono
2006,Alagoas,Junho,Junho - 2006,0,Nordeste,Outono
2007,Alagoas,Junho,Junho - 2007,0,Nordeste,Outono
2008,Alagoas,Junho,Junho - 2008,0,Nordeste,Outono
2009,Alagoas,Junho,Junho - 2009,0,Nordeste,Outono
2010,Alagoas,Junho,Junho - 2010,0,Nordeste,Outono
2011,Alagoas,Junho,Junho - 2011,1,Nordeste,Outono
2012,Alagoas,Junho,Junho - 2012,1,Nordeste,Outono
2013,Alagoas,Junho,Junho - 2013,1,Nordeste,Outono
2014,Alagoas,Junho,Junho - 2014,1,Nordeste,Outono
2015,Alagoas,Junho,Junho - 2015,1,Nordeste,Outono
2016,Alagoas,Junho,Junho - 2016,1,Nordeste,Outono
2017,Alagoas,Junho,Junho - 2017,1,Nordeste,Outono
1998,Alagoas,Julho,Julho - 1998,0,Nordeste,Inverno
1999,Alagoas,Julho,Julho - 1999,0,Nordeste,Inverno
2000,Alagoas,Julho,Julho - 2000,0,Nordeste,Inverno
2001,Alagoas,Julho,Julho - 2001,0,Nordeste,Inverno
2002,Alagoas,Julho,Julho - 2002,1,Nordeste,Inverno
2003,Alagoas,Julho,Julho - 2003,0,Nordeste,Inverno
2004,Alagoas,Julho,Julho - 2004,0,Nordeste,Inverno
2005,Alagoas,Julho,Julho - 2005,0,Nordeste,Inverno
2006,Alagoas,Julho,Julho - 2006,0,Nordeste,Inverno
2007,Alagoas,Julho,Julho - 2007,0,Nordeste,Inverno
2008,Alagoas,Julho,Julho - 2008,0,Nordeste,Inverno
2009,Alagoas,Julho,Julho - 2009,0,Nordeste,Inverno
2010,Alagoas,Julho,Julho - 2010,1,Nordeste,Inverno
2011,Alagoas,Julho,Julho - 2011,0,Nordeste,Inverno
2012,Alagoas,Julho,Julho - 2012,0,Nordeste,Inverno
2013,Alagoas,Julho,Julho - 2013,0,Nordeste,Inverno
2014,Alagoas,Julho,Julho - 2014,1,Nordeste,Inverno
2015,Alagoas,Julho,Julho - 2015,0,Nordeste,Inverno
2016,Alagoas,Julho,Julho - 2016,1,Nordeste,Inverno
2017,Alagoas,Julho,Julho - 2017,0,Nordeste,Inverno
1998,Alagoas,Agosto,Agosto - 1998,1,Nordeste,Inverno
1999,Alagoas,Agosto,Agosto - 1999,1,Nordeste,Inverno
2000,Alagoas,Agosto,Agosto - 2000,1,Nordeste,Inverno
2001,Alagoas,Agosto,Agosto - 2001,1,Nordeste,Inverno
2002,Alagoas,Agosto,Agosto - 2002,1,Nordeste,Inverno
2003,Alagoas,Agosto,Agosto - 2003,1,Nordeste,Inverno
2004,Alagoas,Agosto,Agosto - 2004,1,Nordeste,Inverno
2005,Alagoas,Agosto,Agosto - 2005,1,Nordeste,Inverno
2006,Alagoas,Agosto,Agosto - 2006,1,Nordeste,Inverno
2007,Alagoas,Agosto,Agosto - 2007,1,Nordeste,Inverno
2008,Alagoas,Agosto,Agosto - 2008,1,Nordeste,Inverno
2009,Alagoas,Agosto,Agosto - 2009,0,Nordeste,Inverno
2010,Alagoas,Agosto,Agosto - 2010,1,Nordeste,Inverno
2011,Alagoas,Agosto,Agosto - 2011,1,Nordeste,Inverno
2012,Alagoas,Agosto,Agosto - 2012,0,Nordeste,Inverno
2013,Alagoas,Agosto,Agosto - 2013,0,Nordeste,Inverno
2014,Alagoas,Agosto,Agosto - 2014,1,Nordeste,Inverno
2015,Alagoas,Agosto,Agosto - 2015,1,Nordeste,Inverno
2016,Alagoas,Agosto,Agosto - 2016,1,Nordeste,Inverno
2017,Alagoas,Agosto,Agosto - 2017,1,Nordeste,Inverno
1998,Alagoas,Setembro,Setembro - 1998,1,Nordeste,Inverno
1999,Alagoas,Setembro,Setembro - 1999,1,Nordeste,Inverno
2000,Alagoas,Setembro,Setembro - 2000,1,Nordeste,Inverno
2001,Alagoas,Setembro,Setembro - 2001,1,Nordeste,Inverno
2002,Alagoas,Setembro,Setembro - 2002,1,Nordeste,Inverno
2003,Alagoas,Setembro,Setembro - 2003,1,Nordeste,Inverno
2004,Alagoas,Setembro,Setembro - 2004,1,Nordeste,Inverno
2005,Alagoas,Setembro,Setembro - 2005,1,Nordeste,Inverno
2006,Alagoas,Setembro,Setembro - 2006,1,Nordeste,Inverno
2007,Alagoas,Setembro,Setembro - 2007,1,Nordeste,Inverno
2008,Alagoas,Setembro,Setembro - 2008,1,Nordeste,Inverno
2009,Alagoas,Setembro,Setembro - 2009,1,Nordeste,Inverno
2010,Alagoas,Setembro,Setembro - 2010,1,Nordeste,Inverno
2011,Alagoas,Setembro,Setembro - 2011,1,Nordeste,Inverno
2012,Alagoas,Setembro,Setembro - 2012,1,Nordeste,Inverno
2013,Alagoas,Setembro,Setembro - 2013,1,Nordeste,Inverno
2014,Alagoas,Setembro,Setembro - 2014,1,Nordeste,Inverno
2015,Alagoas,Setembro,Setembro - 2015,1,Nordeste,Inverno
2016,Alagoas,Setembro,Setembro - 2016,1,Nordeste,Inverno
2017,Alagoas,Setembro,Setembro - 2017,1,Nordeste,Inverno
